"OTU"	"Phylum"	"Class"	"Family"	"Genus"	"BP"	"BS"	"CH"	"CS"	"RH"	"RT"
"16"	"ASV10090"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagaceae"	"Niastella"	2.03352204316437e-05	0	4.39866702794385e-06	0	0	1.66627454555191e-05
"17"	"ASV101"	"Proteobacteria"	"Deltaproteobacteria"	"0319-6G20"	NA	1.91330097979787e-05	0	0.000356199062470505	4.98289519970648e-05	0.00850387452478291	0.00293908132123703
"18"	"ASV1010"	"Actinobacteria"	"Actinobacteria"	"Geodermatophilaceae"	"Geodermatophilus"	0.000389187240534351	0.000658727270279201	0.00016604591607515	0.000569550033126646	3.02777010210182e-05	0
"19"	"ASV1011"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadaceae"	"Arenimonas"	0.00053472368382579	0.000114146146976803	0.000608255312157003	4.68715037170334e-05	0.000152265003739712	0
"20"	"ASV1012"	"Proteobacteria"	"Gammaproteobacteria"	"SC-I-84"	NA	0.000338337204238569	0.000668868412908265	0.00026458572166327	0.000482323316600629	5.85962205644809e-05	0
"21"	"ASV10136"	"Actinobacteria"	"Acidimicrobiia"	"Iamiaceae"	"Iamia"	3.49971500789709e-05	0	8.02838838131633e-06	0	1.05198516174929e-05	0
"22"	"ASV1014"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagaceae"	NA	0.000211680357134394	0.000737468702654262	0.000137355526847011	0.000571210839818593	4.01473698816252e-05	0
"23"	"ASV10147"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacteraceae"	"Amaricoccus"	3.85697200284587e-05	0	2.57224933944637e-06	1.63243656440292e-05	0	0
"24"	"ASV1015"	"Proteobacteria"	"Deltaproteobacteria"	"BIrii41"	NA	0.000620457972177846	0.000352661972513999	0.000476219907304553	0.0001541606503027	2.5071015625705e-05	0
"25"	"ASV1016"	"Bacteroidetes"	"Bacteroidia"	"AKYH767"	NA	0.000202927551960779	0.000515285880379744	0.000154895961529691	0.000847060271823813	1.82732665715467e-05	0
"26"	"ASV10166"	"Actinobacteria"	"Actinobacteria"	"Sporichthyaceae"	NA	1.03293655702916e-05	0	4.31411347844094e-05	7.09843110475723e-07	7.44060905849509e-06	0
"27"	"ASV1017"	"Actinobacteria"	"Acidimicrobiia"	"Ilumatobacteraceae"	NA	0.000505602617419611	0.000584984868773982	0.000108368126930237	0.000494855604795796	2.34182489285849e-05	0
"28"	"ASV10174"	"Verrucomicrobia"	"Verrucomicrobiae"	"Pedosphaeraceae"	NA	8.12743823146944e-06	1.8085420295649e-05	0	8.29351065964925e-06	0	0
"29"	"ASV1018"	"Proteobacteria"	"Deltaproteobacteria"	"Sandaracinaceae"	"Sandaracinus"	1.21897163120567e-05	0	0.000618253443778975	0	0.000747464353843829	0.000114190810948497
"30"	"ASV1019"	"Actinobacteria"	"Actinobacteria"	"Streptomycetaceae"	"Streptomyces"	5.95231165040874e-05	8.16576269248623e-05	0.000970352246111743	0.000225389030849974	0.000109049485965863	0
"31"	"ASV10190"	"Proteobacteria"	"Deltaproteobacteria"	"Haliangiaceae"	"Haliangium"	1.8939951959672e-05	0	0	1.84191837845692e-05	0	0
"32"	"ASV10193"	"Planctomycetes"	"Phycisphaerae"	"WD2101_soil_group"	NA	2.05687762601596e-05	6.68449197860963e-06	0	0	1.77016214685265e-05	0
"33"	"ASV102"	"Armatimonadetes"	"Armatimonadia"	"Armatimonadaceae"	"Armatimonas"	0	0.000104806082763743	0.000332144598000946	0.000115187991592048	0.00262804164782086	0.00846979153826124
"34"	"ASV10201"	"Planctomycetes"	"Planctomycetacia"	"Gemmataceae"	NA	3.60146219365062e-06	8.89758875344781e-06	6.15813383912139e-06	1.96510409784345e-05	0	0
"35"	"ASV10205"	"Spirochaetes"	"Leptospirae"	"Leptospiraceae"	"Leptospira"	0	2.81293687874723e-05	0	2.16050938638447e-05	0	0
"36"	"ASV10208"	"Planctomycetes"	"Planctomycetacia"	"Pirellulaceae"	"Pirellula"	1.7991777596177e-05	0	2.00709709532908e-05	1.22794558563795e-05	0	0
"37"	"ASV1021"	"Planctomycetes"	"Phycisphaerae"	"WD2101_soil_group"	NA	0.000501327120105985	0.000447408043178353	0.000120609870010972	0.000437707090909478	5.4617833806666e-05	0
"38"	"ASV1022"	"Proteobacteria"	"Alphaproteobacteria"	"Xanthobacteraceae"	"Rhodopseudomonas"	0	0	0	0	0.000768163788006926	0.000389258142014062
"39"	"ASV10225"	"Verrucomicrobia"	"Verrucomicrobiae"	"Pedosphaeraceae"	NA	1.1846109461591e-05	0	7.0855318163997e-06	1.2159656287049e-05	1.61491120924551e-05	0
"40"	"ASV1023"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiaceae"	NA	0.000839488784390527	0.000178808970956078	0.0010273400646894	0	0	0
"41"	"ASV10238"	"Firmicutes"	"Clostridia"	"Lachnospiraceae"	"Epulopiscium"	9.84551492043034e-06	0	2.8868887955425e-05	0	0	0
"42"	"ASV1024"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiaceae"	NA	0	0	0	0	0.00086877322922554	0.000310753538091568
"43"	"ASV1025"	"Proteobacteria"	"Deltaproteobacteria"	"Bacteriovoracaceae"	"Peredibacter"	0	0	1.75946681117754e-05	0	0.000780346210209504	0.000501777358971285
"44"	"ASV1026"	"Chloroflexi"	"Anaerolineae"	"Anaerolineaceae"	NA	0.000214708964262476	0.00038869697141219	0.000382124055934572	0.000488979507773726	0.000112516035801242	0
"45"	"ASV10265"	"Proteobacteria"	"Deltaproteobacteria"	"Polyangiaceae"	"Pajaroellobacter"	0	0	5.80295727643791e-05	0	0	0
"46"	"ASV1027"	"Proteobacteria"	"Gammaproteobacteria"	"Nitrosomonadaceae"	"Nitrosomonas"	0	0.00022637194411556	5.61377264618261e-05	9.72035958260342e-05	0.000637895510531773	0.000468561906818065
"47"	"ASV10270"	"Proteobacteria"	"Alphaproteobacteria"	"Xanthobacteraceae"	NA	5.70044178423828e-06	0	2.98743533607082e-05	6.25897119204193e-06	0	0
"48"	"ASV1028"	"Chloroflexi"	"Anaerolineae"	"A4b"	NA	0.000757435628687389	0.000146077368681018	0.00026792840534836	0.000211189119204202	3.80731887945964e-05	0
"49"	"ASV1029"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionaceae"	"Bdellovibrio"	0	0	7.45433360481235e-05	0	0.00141477398686546	0.000416945582320129
"50"	"ASV10291"	"Proteobacteria"	"Alphaproteobacteria"	"Beijerinckiaceae"	"Psychroglaciecola"	6.74923227482874e-06	0	1.29182579611701e-05	2.8214098841683e-05	7.8744103140458e-06	0
"51"	"ASV103"	"Proteobacteria"	"Gammaproteobacteria"	"Unknown_Family"	"Acidibacter"	0.00565892437908631	0.00141379543063633	0.0030462041433342	0.0017062656276629	0.000246065834271806	3.40043525571273e-05
"52"	"ASV1030"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacteraceae"	"Caulobacter"	0.000590316628340671	3.46890051268746e-05	0.000412560970250912	3.33040661634216e-05	0.000197562612642008	7.05583586271932e-05
"53"	"ASV10300"	"Chlamydiae"	"Chlamydiae"	"Parachlamydiaceae"	"Neochlamydia"	5.40219329047593e-06	0	1.22750695791861e-05	1.06671900701261e-05	0	0
"54"	"ASV10311"	"Planctomycetes"	"Planctomycetacia"	"Pirellulaceae"	NA	2.97730696630284e-06	0	1.7742793944332e-05	2.53438481747608e-05	0	0
"55"	"ASV10312"	"Firmicutes"	"Clostridia"	"Clostridiaceae_1"	"Clostridium_sensu_stricto_1"	1.93397898711829e-05	0	1.90702719186953e-05	0	0	0
"56"	"ASV10320"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiaceae"	NA	0	1.6859750957393e-05	9.81831213396105e-06	0	0	1.18487760842283e-05
"57"	"ASV10322"	"Proteobacteria"	"Deltaproteobacteria"	"Polyangiaceae"	NA	1.60726483706353e-05	1.57609514611961e-05	0	1.73804226918799e-05	0	0
"58"	"ASV10328"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacteraceae"	"Conexibacter"	0	0	2.02410677871861e-05	4.68404368807548e-06	1.49811050812163e-05	0
"59"	"ASV10329"	"Actinobacteria"	"Thermoleophilia"	"67-14"	NA	7.11541198235378e-06	1.33838947133616e-05	2.45286530739452e-05	8.50890492668389e-06	0	0
"60"	"ASV1033"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagaceae"	"Terrimonas"	0.000322327500004552	0.000461120049028765	0.000313096126596695	0.000371721559439595	0.000141027414712786	0
"61"	"ASV10330"	"Bacteroidetes"	"Bacteroidia"	"Cryomorphaceae"	"NS10_marine_group"	0	0	4.09002973451617e-05	0	4.94556005765873e-05	7.65431090790333e-06
"62"	"ASV10333"	"Chloroflexi"	"Anaerolineae"	"Caldilineaceae"	"Litorilinea"	5.64711956565583e-06	0	0	5.01701028232295e-05	0	0
"63"	"ASV10335"	"Actinobacteria"	"Actinobacteria"	"Micromonosporaceae"	NA	3.00121849470885e-06	7.81660022556475e-06	0	3.32188016806001e-05	0	0
"64"	"ASV10341"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaeraceae"	"SM1A02"	6.27493164806598e-06	0	1.36354494414579e-05	2.42431856251477e-05	0	0
"65"	"ASV10343"	"Proteobacteria"	"Gammaproteobacteria"	"Diplorickettsiaceae"	NA	0	3.34347754591932e-05	0	1.98413180103603e-05	0	0
"66"	"ASV10348"	"Chloroflexi"	"Anaerolineae"	"A4b"	NA	1.50172547796766e-05	4.63961769550189e-06	0	2.53772013831704e-05	0	0
"67"	"ASV1036"	"Proteobacteria"	"Deltaproteobacteria"	"Haliangiaceae"	"Haliangium"	0.000230325510591874	0.000714376243848946	0.000183319591876012	0.000559834366681516	4.82413367338099e-05	0
"68"	"ASV10369"	"Actinobacteria"	"Actinobacteria"	"Micromonosporaceae"	NA	1.44287651862754e-06	0	5.30707224809028e-05	0	7.06227989227669e-06	0
"69"	"ASV10370"	"Armatimonadetes"	"Fimbriimonadia"	"Fimbriimonadaceae"	NA	0	0	4.49303482423849e-05	1.02881399351641e-05	1.2948298881267e-05	0
"70"	"ASV1038"	"Planctomycetes"	"Planctomycetacia"	"Gemmataceae"	NA	0.000586135779226856	0.00042887139787146	0.000192452848465147	0.000321645051129287	0	0
"71"	"ASV10384"	"Proteobacteria"	"Gammaproteobacteria"	"Rhodanobacteraceae"	"Rhodanobacter"	2.50448761621665e-05	0	1.11223549147799e-05	0	0	0
"72"	"ASV10386"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionaceae"	"Bdellovibrio"	0	0	4.37408141628579e-05	0	0	9.62119962614767e-06
"73"	"ASV104"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiaceae"	"Pelomonas"	9.4675987711336e-05	8.87599502595785e-05	0.00603946168017171	0.00024980683017315	0.00423764181402776	0.000152321915812339
"74"	"ASV1040"	"Proteobacteria"	"Alphaproteobacteria"	"Xanthobacteraceae"	NA	0.00051326257297624	1.78665148012909e-05	0.000660595786360471	2.83787479296413e-05	4.78665637143198e-05	0
"75"	"ASV10413"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionaceae"	"Bdellovibrio"	0	1.89134238025439e-05	0	3.55195426782796e-05	1.24842542343469e-05	0
"76"	"ASV10420"	"Bacteroidetes"	"Bacteroidia"	"Cyclobacteriaceae"	NA	1.43159246077849e-05	0	1.07556290589037e-05	0	5.01098838166551e-06	0
"77"	"ASV10423"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiaceae"	NA	7.86905886056028e-06	0	0	2.64793098545932e-05	6.69654815264558e-06	0
"78"	"ASV10443"	"Bacteroidetes"	"Bacteroidia"	"AKYH767"	NA	2.19099455812003e-05	0	1.36354494414579e-05	0	1.09047884743656e-05	0
"79"	"ASV1045"	"Planctomycetes"	"Planctomycetacia"	"Rubinisphaeraceae"	"SH-PL14"	0.000578241395238248	0.000151463606054724	0.000317757404669745	0.000476895850959245	5.40168359680052e-05	0
"80"	"ASV10451"	"Proteobacteria"	"Deltaproteobacteria"	"27F-1492R"	NA	1.23891176977898e-05	0	0	2.21685308937237e-05	0	0
"81"	"ASV1046"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadaceae"	"Ellin6055"	0.00037902748692938	0.000395470606876513	0.000343223516157265	0.000290332963328885	4.17315125252794e-05	0
"82"	"ASV10460"	"Bacteroidetes"	"Bacteroidia"	"env.OPS_17"	NA	0	1.66922614675836e-05	9.57951669422374e-06	2.00472468627941e-05	0	0
"83"	"ASV10464"	"Planctomycetes"	"Planctomycetacia"	"Gemmataceae"	"Gemmata"	1.75305721810325e-05	3.17865824373707e-05	0	0	0	0
"84"	"ASV10465"	"Chloroflexi"	"Anaerolineae"	"Caldilineaceae"	NA	0	7.29394602479942e-06	4.09168985972869e-06	1.88705355457988e-05	2.49846475915457e-05	0
"85"	"ASV10466"	"Acidobacteria"	"Acidobacteriia"	"Solibacteraceae_(Subgroup_3)"	"Candidatus_Solibacter"	1.43427009098651e-05	1.15124848062441e-05	0	2.34337655351893e-05	0	0
"86"	"ASV1047"	"Actinobacteria"	"Acidimicrobiia"	"Iamiaceae"	"Iamia"	0.000215278894465634	0.000536170524328547	0.000216474983161984	0.000583266525026579	5.7169180802113e-05	0
"87"	"ASV10470"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadaceae"	NA	0	3.07697064812862e-05	0	1.60926720426674e-05	0	0
"88"	"ASV1048"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacteraceae"	"Conexibacter"	0.000348466597957158	0.000572557408338964	0.000261487142341547	0.000463130758030229	4.07143757523562e-05	0
"89"	"ASV1049"	"Actinobacteria"	"Thermoleophilia"	"67-14"	NA	0.000317902865778628	0.000519473670750948	0.000130511174259322	0.000633354875401123	4.72154204210095e-05	0
"90"	"ASV10495"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadaceae"	"Pseudoxanthomonas"	0	0	5.80616422633689e-05	0	0	0
"91"	"ASV1050"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionaceae"	"OM27_clade"	0.000614881148275139	0.000659271889782014	0.000101468439209403	0.000434221310628876	6.04210169381533e-05	0
"92"	"ASV10532"	"Actinobacteria"	"Acidimicrobiia"	"Ilumatobacteraceae"	"CL500-29_marine_group"	0	4.63514206489693e-05	0	6.83584938162906e-06	0	0
"93"	"ASV1055"	"Planctomycetes"	"Phycisphaerae"	"WD2101_soil_group"	NA	0.000495329934288402	0.000453558086447977	0.000105638200987372	0.000637338361615022	0	3.04165855557719e-06
"94"	"ASV1056"	"Proteobacteria"	"Gammaproteobacteria"	"SC-I-84"	NA	0.000477095275331179	0.000466504062825678	0.000198359969531591	0.000407125735261043	0	0
"95"	"ASV10564"	"Proteobacteria"	"Alphaproteobacteria"	"Sneathiellaceae"	"Ferrovibrio"	0	7.61491380869433e-06	1.40496796673036e-05	0	2.25764848977426e-05	8.73453986443994e-06
"96"	"ASV1057"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagaceae"	"Ferruginibacter"	3.87854609929078e-05	0.00103168870326945	9.86949373298209e-05	0.000326590755529365	9.11574185791538e-05	0
"97"	"ASV10579"	"Actinobacteria"	"Acidimicrobiia"	"Ilumatobacteraceae"	NA	2.42487908404725e-05	1.49640854953753e-05	0	4.07483541305583e-06	2.51643863538566e-06	0
"98"	"ASV10580"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadaceae"	"Porphyrobacter"	2.03638249976677e-05	5.09632045663031e-05	0	0	0	0
"99"	"ASV10585"	"Proteobacteria"	"Gammaproteobacteria"	"Coxiellaceae"	"Coxiella"	0	1.96231908843153e-05	8.26197738862028e-06	1.2345767922197e-05	0	0
"100"	"ASV10586"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadaceae"	"Gemmatimonas"	2.38636787298308e-05	1.37583708732177e-05	0	0	0	0
"101"	"ASV10597"	"Proteobacteria"	"Deltaproteobacteria"	"Haliangiaceae"	"Haliangium"	9.44287063267233e-06	0	5.90460984699975e-06	3.52584870916384e-05	0	0
"102"	"ASV1060"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagaceae"	"Terrimonas"	0.000125904527327695	0.000627430531487153	6.46182554947918e-05	0.000695607114387665	0	0
"103"	"ASV10603"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaeraceae"	"SM1A02"	1.70392319892157e-05	5.13874614594039e-06	6.4868729662773e-06	7.73965852626582e-06	0	0
"104"	"ASV1062"	"Actinobacteria"	"Actinobacteria"	"Mycobacteriaceae"	"Mycobacterium"	0	0	8.42721693639269e-05	0	0.0019263670616771	0.000337336897853853
"105"	"ASV1063"	"Actinobacteria"	"Thermoleophilia"	"Gaiellaceae"	"Gaiella"	0.000249884463059611	0.000584985001448268	0.00027524525515067	0.000485037907327222	0	0
"106"	"ASV10632"	"Planctomycetes"	"Planctomycetacia"	"Pirellulaceae"	"Pirellula"	0	1.683189854021e-05	0	0	1.10610292287697e-05	5.91172277736114e-06
"107"	"ASV10633"	"Planctomycetes"	"Planctomycetacia"	"Pirellulaceae"	"Pir4_lineage"	0	0	0	0	3.01072883386746e-06	2.92869594299041e-05
"108"	"ASV10639"	"Planctomycetes"	"Planctomycetacia"	"Schlesneriaceae"	"Planctopirus"	0	0	0	0	5.6043345540517e-05	0
"109"	"ASV10643"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiaceae"	"Nonomuraea"	2.85022089211914e-06	3.49573334672438e-05	2.23852383624322e-05	0	0	0
"110"	"ASV1065"	"Nitrospirae"	"Nitrospira"	"Nitrospiraceae"	"Nitrospira"	0.000428251518855425	0.000464143362290667	0.000140812219638149	0.000447079254300067	0	0
"111"	"ASV10654"	"Proteobacteria"	"Alphaproteobacteria"	"Beijerinckiaceae"	"Methylorosula"	0	0	0	0	3.24652834031264e-05	1.06689486424413e-05
"112"	"ASV1066"	"Actinobacteria"	"Actinobacteria"	"Acidothermaceae"	"Acidothermus"	0.000351416745792318	0.000654668238981786	0.000230636878415931	0.000533715838378878	0	0
"113"	"ASV10666"	"Firmicutes"	"Bacilli"	"Carnobacteriaceae"	"Granulicatella"	0	0	2.02890768752663e-05	0	3.28836459681724e-05	0
"114"	"ASV1067"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadaceae"	"Ellin6055"	0.000331119856596051	0.000317048339545855	0.000301967588988616	0.000609787332548733	8.3607764095234e-05	0
"115"	"ASV1069"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiaceae"	"Variovorax"	2.28955005420253e-05	0	0	0	0.000472270513449479	0.000689970861084135
"116"	"ASV10694"	"Proteobacteria"	"Gammaproteobacteria"	"Solimonadaceae"	"Alkanibacter"	0	1.22819945959224e-05	0	0	1.5134553559385e-05	1.02207686017989e-05
"117"	"ASV107"	"Chloroflexi"	"Chloroflexia"	"JG30-KF-CM45"	NA	0.00321622201439599	0.00460408544282204	0.00107236972553972	0.00446359566577368	0.000155289621080188	0
"118"	"ASV1070"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionaceae"	"OM27_clade"	0.000638714718530469	0.000376468507067367	0.00029939029402965	0.000316916562119219	3.45318301688243e-05	0
"119"	"ASV10701"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadaceae"	"Novosphingobium"	0	0	1.60567767626327e-05	0	2.79933832055148e-05	0
"120"	"ASV10704"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacteraceae"	"Chthoniobacter"	4.60948847565252e-05	0	0	0	0	0
"121"	"ASV1071"	"Proteobacteria"	"Deltaproteobacteria"	"Haliangiaceae"	"Haliangium"	0.000211148083232943	0.000646191967156693	0.000201680783509099	0.000569740762965926	2.23218271754853e-06	0
"122"	"ASV10710"	"Dependentiae"	"Babeliae"	"Vermiphilaceae"	NA	0	0	0	2.75878468132487e-05	0	0
"123"	"ASV10713"	"Proteobacteria"	"Deltaproteobacteria"	"Blfdi19"	NA	0	2.79539142673168e-05	0	2.8625899568894e-05	0	0
"124"	"ASV10718"	"Planctomycetes"	"Planctomycetacia"	"Gemmataceae"	NA	4.16822975282398e-06	0	2.23438783520027e-05	5.21580932670161e-06	0	0
"125"	"ASV10719"	"Planctomycetes"	"Planctomycetacia"	"Gemmataceae"	NA	1.10756288251159e-05	0	2.49067434049817e-05	1.15696699815914e-05	0	0
"126"	"ASV1072"	"Planctomycetes"	"Phycisphaerae"	"WD2101_soil_group"	NA	0.00050356544692489	0.000408759183237574	9.67761065994162e-05	0.000407220026192103	3.21321073647043e-05	0
"127"	"ASV1073"	"Actinobacteria"	"Acidimicrobiia"	"Iamiaceae"	"Iamia"	0	1.0527423939362e-05	1.86628865143023e-05	6.40031404207566e-06	0.000769960881643719	0.000627750719307099
"128"	"ASV10732"	"Omnitrophicaeota"	"Omnitrophia"	"Omnitrophaceae"	"Candidatus_Omnitrophus"	7.75709219858156e-06	6.68449197860963e-06	0	1.41893739648207e-05	1.30611012830355e-05	0
"129"	"ASV1074"	"Actinobacteria"	"Thermoleophilia"	"Gaiellaceae"	"Gaiella"	0.000300536507991815	0.000323159676203207	0.000327508611574026	0.000404679641269616	7.64254402944569e-05	0
"130"	"ASV10747"	"Bacteroidetes"	"Bacteroidia"	"env.OPS_17"	NA	0	2.0572853089057e-05	0	1.68261332658635e-05	0	0
"131"	"ASV1075"	"Firmicutes"	"Bacilli"	"Planococcaceae"	"Lysinibacillus"	0.000252088095858846	0.000399454738553128	0.000342951119595226	0.000708513244149046	0	0
"132"	"ASV10754"	"Proteobacteria"	"Deltaproteobacteria"	"Bacteriovoracaceae"	"Peredibacter"	0	1.3129102844639e-05	3.27202378761294e-05	2.7531144607337e-05	7.05515153054457e-06	0
"133"	"ASV10759"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionaceae"	"Bdellovibrio"	1.01001356303928e-05	2.51755035747318e-05	0	9.02960161397679e-06	0	0
"134"	"ASV10763"	"Planctomycetes"	"Planctomycetacia"	"Isosphaeraceae"	NA	0	0	7.79960801398581e-06	0	3.54887793589528e-05	1.04008487092547e-05
"135"	"ASV10766"	"Proteobacteria"	"Deltaproteobacteria"	"Phaselicystidaceae"	"Phaselicystis"	0	0	0	0	8.63219925417798e-06	4.46705302080322e-05
"136"	"ASV1077"	"Acidobacteria"	"Thermoanaerobaculia"	"Thermoanaerobaculaceae"	"Subgroup_10"	8.78422914769892e-05	0.000612353111833169	7.03492547375826e-05	0.000861978858994014	4.60243508265316e-05	0
"137"	"ASV1078"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfarculaceae"	NA	0.00048321507811353	0.000273566784786076	0.0002750600130204	0.000329725303676833	4.36334262228029e-05	0
"138"	"ASV10788"	"Spirochaetes"	"Leptospirae"	"Leptospiraceae"	NA	0	6.96060298709305e-06	1.65438187814068e-05	6.3885879942815e-06	0	0
"139"	"ASV1079"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadaceae"	"Ellin6055"	0.000864952525572292	0.000124213922976734	0.000233478095267153	0.000149725439216774	6.916666476916e-05	0
"140"	"ASV10794"	"Actinobacteria"	"Acidimicrobiia"	"Microtrichaceae"	NA	4.98763067592371e-06	0	7.82294454720559e-05	0	0	0
"141"	"ASV1081"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagaceae"	"Flavisolibacter"	0.000300351399473711	0.000722039749214184	4.64928531039928e-05	0.000501974368367475	0	0
"142"	"ASV10810"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaeraceae"	"SM1A02"	0	1.07626076260763e-05	1.2773002957033e-05	4.25905866285434e-06	0	0
"143"	"ASV1082"	"Proteobacteria"	"Alphaproteobacteria"	"Xanthobacteraceae"	"Afipia"	0	0	0	0	0.000634633611913337	0.000585695651439961
"144"	"ASV1084"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales_Incertae_Sedis"	"Bauldia"	0.00041806923079588	0.000378585016432952	0.000180347235897132	0.000433045979429337	7.51322188424111e-05	0
"145"	"ASV10854"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacteraceae"	"Parviterribacter"	1.40811283494417e-05	0	1.05694837864119e-05	2.37867367313373e-05	0	0
"146"	"ASV10855"	"Chloroflexi"	"Chloroflexia"	"Herpetosiphonaceae"	"Herpetosiphon"	0	0	2.38620365225513e-05	2.88831586880291e-05	0	0
"147"	"ASV1086"	"Proteobacteria"	"Alphaproteobacteria"	"Micropepsaceae"	NA	0.000284738644755953	0.000461698217865899	0.00021612718348076	0.000400539051456679	9.87316941712491e-05	0
"148"	"ASV10860"	"Actinobacteria"	"Actinobacteria"	"Nocardioidaceae"	"Nocardioides"	4.79330950237954e-06	1.57243900847927e-05	0	1.10798363048165e-05	3.08591257763963e-06	0
