ASV	OTU	Phylum	Class	Family	Genus	BP	BS	CH	CS	RH	RT	meanAbund	sumAbund	CH-BS	CH-CS	RH-CS
ASV809	ASV809	Proteobacteria	Deltaproteobacteria	BIrii41		0.00101251088817	0.000157177658934	0.000726467015441	8.79093990347e-05	8.71758627053e-05	0.0	0.0011696885471	0.00105872993612	1.0		
ASV152	ASV152	Bacteroidetes	Bacteroidia	Saprospiraceae		0.0021860752277	0.00337703798661	0.00124404693246	0.00258525182227	0.000222889421863	2.60693198572e-05	0.00556311321431	0.0074292261632			
ASV153	ASV153	Proteobacteria	Gammaproteobacteria	Unknown_Family	Acidibacter	0.00442125085731	0.000623399012008	0.00268926460083	0.000265712863498	0.000401488151873	0.0	0.00504464986932	0.00397986462821		1.0	
ASV150	ASV150	Proteobacteria	Alphaproteobacteria	Sphingomonadaceae	Sphingomonas	8.85435854083e-05	0.0	0.000444615620469	9.36808737615e-06	0.000541516990914	0.0	8.85435854083e-05	0.000995500698759	1.0	1.0	
BE195																
BE193																
BE190																
ASV1975	ASV1975	Bacteroidetes	Bacteroidia	Microscillaceae	Ohtaekwangia	7.93050266839e-05	4.52831379483e-05	0.000625064052564	3.90154647556e-05	3.81344621134e-05	0.0	0.000124588164632	0.000747497117382	1.0	1.0	
BE61																
BE60																
BE63																
ASV159	ASV159	Proteobacteria	Alphaproteobacteria	Caulobacteraceae	Phenylobacterium	0.00175291208717	0.000257941725835	0.000376509634373	0.000866806588715	0.00321274913801	0.00260926624556	0.002010853813	0.00471400708694	1.0		
BE65																
BE64																
BE198																
BE66																
ASV792	ASV792	Proteobacteria	Alphaproteobacteria	Sphingomonadaceae	Sphingopyxis	0.0	0.0	0.0	0.0	0.002637437862	0.000530554524833	0.0	0.002637437862			1.0
ASV2028	ASV2028	Proteobacteria	Gammaproteobacteria	Xanthomonadaceae	Arenimonas	0.000242246328139	9.04864426347e-05	0.000289613575167	0.0	0.0	0.0	0.000332732770774	0.000380100017802	1.0	1.0	
ASV147	ASV147	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Ideonella	0.000185616164708	4.5512483882e-05	0.00473427452651	0.000444845568801	0.00110531085687	0.00305541745592	0.00023112864859	0.00632994343606	1.0	1.0	
ASV5271	ASV5271	Firmicutes	Bacilli	Paenibacillaceae	Brevibacillus	0.0	0.0	0.0	0.0	6.78999314196e-05	5.55876355974e-05	0.0	6.78999314196e-05			
BE109																
BE108																
BE105																
BE104																
BE107																
BE101																
BE100																
BE103																
BE102																
BE277																
ASV522	ASV522	Actinobacteria	Actinobacteria	Nocardiaceae	Gordonia	0.0	0.0	0.0	0.0	0.00216229282164	3.01930742838e-05	0.0	0.00216229282164			1.0
BE276																
BE224																
ASV1904	ASV1904	Bacteroidetes	Bacteroidia	Microscillaceae		0.0	7.40638674279e-05	0.000294212784259	4.05321876235e-05	0.000142544464967	4.93402328332e-05	7.40638674279e-05	0.000551353304278		1.0	
ASV60	ASV60	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Massilia	0.000830031420669	0.00285919659483	0.00397192612858	0.00214880347918	0.00609972232489	0.00196361255539	0.0036892280155	0.0150796485275			1.0
ASV473	ASV473	Bacteroidetes	Bacteroidia	Cytophagaceae		4.47237192245e-06	0.0	0.00165155261134	2.61373049864e-05	0.00223525522858	0.000144265599217	4.47237192245e-06	0.00391294514491	1.0	1.0	1.0
ASV477	ASV477	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Hydrogenophaga	0.0	0.0	0.0	0.0	0.00368191140714	0.0	0.0	0.00368191140714			1.0
ASV7471	ASV7471	Firmicutes	Bacilli	Paenibacillaceae	Paenibacillus	0.0	4.62670872766e-05	2.58846808706e-05	0.0	3.09002683128e-05	0.0	4.62670872766e-05	0.00010305203646			
BE270																
ASV266	ASV266	Actinobacteria	Actinobacteria	Nocardioidaceae	Aeromicrobium	0.0	6.96083164659e-05	5.55611968265e-05	0.0	7.7147814441e-06	0.0	6.96083164659e-05	0.000132884294736			
BE206																
BE207																
ASV977	ASV977	Chloroflexi	Chloroflexia	Herpetosiphonaceae	Herpetosiphon	0.0	0.0	0.0015640236694	0.000187869565699	0.0	0.0	0.0	0.0017518932351	1.0	1.0	
BE203																
BE201																
ASV5578	ASV5578	Actinobacteria	Actinobacteria	Nocardiaceae	Rhodococcus	0.000121443833055	1.45910848472e-05	1.5966996809e-05	0.0	0.0	0.0	0.000136034917902	3.05580816561e-05			
BE223																
ASV270	ASV270	Actinobacteria	Actinobacteria	Nocardiaceae	Rhodococcus	0.00178368325585	0.00148667708063	0.00057104964318	0.00173163159156	0.000366949255504	0.0	0.00327036033648	0.00415630757087			
ASV276	ASV276	Bacteroidetes	Bacteroidia	Microscillaceae		0.00259537134177	0.000632440016707	0.00131393973854	0.000365390246328	0.00017843460677	0.000235524946491	0.00322781135848	0.00249020460834		1.0	
ASV3134	ASV3134	Proteobacteria	Gammaproteobacteria	Burkholderiaceae		0.0	0.0	0.000662683708947	0.0	0.0	0.0	0.0	0.000662683708947	1.0	1.0	
ASV1356	ASV1356	Proteobacteria	Alphaproteobacteria	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.000309111883192	0.000193692096097	0.000311386183733	0.000109691089407	7.78722675672e-05	1.09956567156e-05	0.000502803979289	0.000692641636805			
ASV1357	ASV1357	Proteobacteria	Gammaproteobacteria	Steroidobacteraceae	Steroidobacter	0.000267274053032	5.93172583563e-06	0.000633603636866	2.47251021485e-05	4.83908861077e-05	9.97752062437e-05	0.000273205778868	0.000712651350958		1.0	
BE85																
ASV663	ASV663	Actinobacteria	Actinobacteria	Micromonosporaceae	Plantactinospora	0.0	2.23331435016e-05	0.00285766090562	2.65392341109e-05	0.0	0.0	2.23331435016e-05	0.00290653328324	1.0	1.0	
BE83																
BE82																
BE81																
ASV1018	ASV1018	Proteobacteria	Deltaproteobacteria	Sandaracinaceae	Sandaracinus	1.21897163121e-05	0.0	0.000618253443779	0.0	0.000747464353844	0.000114190810948	1.21897163121e-05	0.00136571779762	1.0	1.0	
BE88																
ASV1681	ASV1681	Proteobacteria	Gammaproteobacteria	Rhodanobacteraceae		0.000194941212846	2.65218883585e-05	0.000655809825385	3.77034117229e-05	0.0	0.0	0.000221463101205	0.000720035125466	1.0	1.0	
ASV2669	ASV2669	Proteobacteria	Alphaproteobacteria	Rhizobiaceae	Mesorhizobium	0.0	0.0	0.000255416603904	0.000128487685953	0.000144949859476	3.22704255143e-05	0.0	0.000528854149334	1.0		
ASV3343	ASV3343	Proteobacteria	Deltaproteobacteria	Polyangiaceae	Sorangium	0.0	0.0	0.000549532510145	9.59609450641e-05	0.0	0.0	0.0	0.000645493455209	1.0		
ASV2830	ASV2830	Proteobacteria	Gammaproteobacteria	Burkholderiaceae		0.0	0.0	0.000744806055354	0.0	0.0	0.0	0.0	0.000744806055354	1.0		
ASV2324	ASV2324	Chloroflexi	Chloroflexia	Herpetosiphonaceae	Herpetosiphon	3.37461613741e-06	6.66304958261e-06	0.000676945540138	0.000147429954694	6.92020624731e-06	0.0	1.003766572e-05	0.000837958750662	1.0		
ASV1122	ASV1122	Actinobacteria	Actinobacteria	Intrasporangiaceae		0.000443197572449	7.71124358632e-05	0.000566057896363	3.83315279657e-05	9.21173174915e-05	0.0	0.000520310008312	0.000773619177683	1.0	1.0	
ASV1125	ASV1125	Proteobacteria	Deltaproteobacteria	BIrii41		0.000970312151425	7.46101936138e-05	0.000372776403782	0.0	6.73977031284e-05	0.0	0.00104492234504	0.000514784300524	1.0	1.0	
ASV2066	ASV2066	Proteobacteria	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	2.13462359471e-05	0.000359643226983	0.000186744581046	0.000314593465173	3.41895177569e-05	0.0	0.000380989462931	0.000895170790959			
ASV617	ASV617	Proteobacteria	Alphaproteobacteria	Beijerinckiaceae	Bosea	0.000571237976477	0.000228879417409	0.000363220479523	0.000280960929596	0.000675646966566	0.000442061424071	0.000800117393887	0.0015487077931			
ASV2108	ASV2108	Bacteroidetes	Bacteroidia	Chitinophagaceae	Terrimonas	0.000267343417076	0.0	0.000186522106771	0.0	5.1122367267e-05	0.0	0.000267343417076	0.000237644474038	1.0	1.0	
ASV2109	ASV2109	Proteobacteria	Gammaproteobacteria	Nitrosomonadaceae	Ellin6067	0.000127697449094	2.66805405478e-05	0.000709018451083	0.0	0.0	0.0	0.000154377989642	0.000735698991631	1.0	1.0	
ASV2101	ASV2101	Proteobacteria	Gammaproteobacteria	Burkholderiaceae		0.0	0.0	0.000854039337692	0.0	1.55213333672e-05	0.0	0.0	0.000869560671059	1.0	1.0	
ASV1547	ASV1547	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	0.0	0.0	0.000890802555364	0.0	0.000121583973061	0.0	0.0	0.00101238652843	1.0	1.0	
BE50																
BE51																
BE52																
BE53																
BE54																
BE55																
BE56																
BE57																
BE59																
ASV539	ASV539	Proteobacteria	Gammaproteobacteria	Unknown_Family	Acidibacter	0.00185533870798	2.38649245272e-05	0.000632298091212	8.42997461367e-05	7.64845957216e-05	0.0	0.00187920363251	0.000816947357598	1.0		
ASV109	ASV109	Acidobacteria	Blastocatellia_(Subgroup_4)	Pyrinomonadaceae	RB41	0.00249855226005	0.00358157851337	0.00121664464451	0.00344179590195	0.000653884581081	3.20692835202e-05	0.00608013077342	0.0088939036409			
ASV104	ASV104	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Pelomonas	9.46759877113e-05	8.87599502596e-05	0.00603946168017	0.000249806830173	0.00423764181403	0.000152321915812	0.000183435937971	0.0106156702746	1.0		
ASV107	ASV107	Chloroflexi	Chloroflexia	JG30-KF-CM45		0.0032162220144	0.00460408544282	0.00107236972554	0.00446359566577	0.00015528962108	0.0	0.00782030745722	0.0102953404552			
ASV101	ASV101	Proteobacteria	Deltaproteobacteria	0319-6G20		1.9133009798e-05	0.0	0.000356199062471	4.98289519971e-05	0.00850387452478	0.00293908132124	1.9133009798e-05	0.00890990253925	1.0	1.0	1.0
ASV100	ASV100	Proteobacteria	Alphaproteobacteria	Xanthobacteraceae		0.00311527061025	0.00416119384707	0.00249002033194	0.00374231708709	0.000230251640855	0.0	0.00727646445732	0.010623782907			
ASV47	ASV47	Proteobacteria	Deltaproteobacteria	BIrii41		0.0111449845544	0.00256873493761	0.00316991114067	0.00246796799279	0.000494668005727	4.99852635376e-05	0.013713719492	0.00870128207679			
ASV46	ASV46	Proteobacteria	Gammaproteobacteria	Unknown_Family	Acidibacter	0.00977550108579	0.00272756706416	0.00622943962591	0.00263937516192	0.000806152648288	2.6361040815e-05	0.0125030681499	0.0124025345003	1.0	1.0	
ASV45	ASV45	Proteobacteria	Gammaproteobacteria	Nitrosomonadaceae	MND1	0.0069855791187	0.00567136763432	0.00434219369931	0.0064847000676	0.000842479895166	0.0	0.012656946753	0.0173407412964			
ASV44	ASV44	Planctomycetes	Planctomycetacia	Rubinisphaeraceae	SH-PL14	0.000335023079716	0.00016036570224	0.000642247589898	0.000127686770516	0.00591455711998	0.0132917638572	0.000495388781957	0.00684485718263			1.0
ASV43	ASV43	Proteobacteria	Alphaproteobacteria	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.000275649122851	0.000417874041252	0.00128871090572	0.000256305332737	0.015225044175	0.00430956768091	0.000693523164103	0.0171879344548	1.0	1.0	1.0
ASV42	ASV42	Proteobacteria	Alphaproteobacteria	Xanthobacteraceae	Pseudolabrys	0.00598918539299	0.00683712672203	0.00471261672918	0.00723717850189	0.00106204604597	1.04008487093e-05	0.012826312115	0.0198489679991			
ASV41	ASV41	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	0.000121769180464	0.000107689139752	0.007225014876	0.000249366223373	0.0131285438313	0.00454866118529	0.000229458320215	0.0207106140705	1.0	1.0	1.0
ASV4121	ASV4121	Bacteroidetes	Bacteroidia	Microscillaceae		1.59435784893e-05	0.0	0.000249769410046	4.00560055787e-05	0.0	0.0	1.59435784893e-05	0.000289825415624	1.0	1.0	
ASV48	ASV48	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Piscinibacter	0.00373151741	0.00789935189945	0.00647531755377	0.00532072960193	0.000603913766334	0.000130971024141	0.0116308693095	0.0202993128215			
BE248																
BE249																
ASV585	ASV585	Proteobacteria	Deltaproteobacteria	0319-6G20		0.0	0.0	0.00210733733734	0.0	0.00133423030092	0.000145662396343	0.0	0.00344156763826	1.0	1.0	1.0
ASV589	ASV589	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	4.31839094409e-05	0.0	0.00359413074435	0.0	0.000125552007816	0.0	4.31839094409e-05	0.00371968275217	1.0	1.0	
BE243																
BE240																
BE241																
ASV2210	ASV2210	Proteobacteria	Deltaproteobacteria	BIrii41		7.2641621664e-05	0.0	0.00041004849966	0.0	2.1398369159e-05	9.76289952884e-05	7.2641621664e-05	0.000431446868819	1.0		
ASV4308	ASV4308	Firmicutes	Bacilli	Bacillaceae	Bacillus	0.0	0.0	0.0	0.0	7.95019148177e-05	7.27493211961e-05	0.0	7.95019148177e-05			
BE197																
ASV6114	ASV6114	Proteobacteria	Gammaproteobacteria	Cellvibrionaceae	Cellvibrio	0.0	0.0	0.000161734035496	0.0	0.0	0.0	0.0	0.000161734035496			
ASV1313	ASV1313	Actinobacteria	Actinobacteria	Streptomycetaceae	Streptomyces	0.0	4.98758902266e-05	0.000473994536459	0.0	0.000129607953276	0.000324991206277	4.98758902266e-05	0.000653478379962	1.0		
ASV1316	ASV1316	Proteobacteria	Alphaproteobacteria	A0839		0.000284599048448	3.64996806278e-05	0.000723242396723	0.0	3.81344621134e-05	0.0	0.000321098729076	0.000797876539464	1.0	1.0	
ASV2499	ASV2499	Proteobacteria	Gammaproteobacteria	Burkholderiaceae		0.0	0.0	0.000513938256426	0.0	6.91794239158e-05	1.61157237894e-05	0.0	0.000583117680342	1.0	1.0	
ASV3145	ASV3145	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Candidatus_Glomeribacter	0.0	0.0	0.000440118482107	0.0	1.2699272755e-05	0.0	0.0	0.000452817754862	1.0		
ASV2490	ASV2490	Proteobacteria	Gammaproteobacteria	Rhodanobacteraceae		0.0	6.45980135431e-05	0.000464189557464	1.77337517108e-05	7.8871471142e-05	0.0	6.45980135431e-05	0.00062539279386		1.0	
ASV321	ASV321	Firmicutes	Bacilli	Bacillaceae	Bacillus	1.45088108051e-05	0.0	0.000178893795326	0.0	2.00439535267e-05	0.0	1.45088108051e-05	0.000198937748853			
ASV1915	ASV1915	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Massilia	4.30610664407e-05	0.0	0.000748927324871	4.52297375692e-05	0.0	0.0	4.30610664407e-05	0.00079415706244			
ASV3592	ASV3592	Proteobacteria	Alphaproteobacteria	Rhizobiaceae	Aminobacter	4.53189753877e-05	3.73868574694e-05	0.000123254134436	1.40521310642e-05	5.09191315242e-05	0.0	8.27058328571e-05	0.000225612254493			
ASV1161	ASV1161	Actinobacteria	Actinobacteria	Nakamurellaceae	Nakamurella	2.53158983842e-05	1.45998722511e-05	0.00124962401338	1.48190367626e-05	2.86968383442e-05	0.0	3.99157706353e-05	0.00130773976073	1.0	1.0	
ASV2400	ASV2400	Bacteroidetes	Bacteroidia	Cytophagaceae		0.0	0.0	0.000544667447913	6.72998460516e-06	0.000181916068773	1.05480781402e-05	0.0	0.000733313501292	1.0		
ASV1369	ASV1369	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	2.36223129619e-05	0.0	0.00166259548079	9.31789628078e-05	0.0	0.0	2.36223129619e-05	0.0017557744436	1.0		
ASV2409	ASV2409	Actinobacteria	Actinobacteria	Micromonosporaceae		0.00018339624905	0.000200338785384	0.00016836447389	0.0	0.0	0.0	0.000383735034434	0.000368703259274		1.0	
ASV3819	ASV3819	Verrucomicrobia	Verrucomicrobiae	Chthoniobacteraceae		6.77286519289e-06	4.01422641843e-06	0.000334247367716	2.69040618004e-05	0.0	0.0	1.07870916113e-05	0.000365165655935	1.0	1.0	
ASV1360	ASV1360	Proteobacteria	Deltaproteobacteria	BIrii41		0.000230040709894	0.000120285928995	0.000624521598392	5.01886634226e-05	2.53402943289e-05	0.0	0.00035032663889	0.000820336485139	1.0		
ASV3772	ASV3772	Firmicutes	Bacilli	Planococcaceae	Lysinibacillus	0.0	0.000189723039697	0.000121283966518	0.0	0.0	0.0	0.000189723039697	0.000311007006215			
ASV718	ASV718	Chloroflexi	Chloroflexia	Herpetosiphonaceae	Herpetosiphon	6.06418944528e-06	0.0	0.00368139408137	0.000266535664683	3.04818041048e-05	0.0	6.06418944528e-06	0.00397841155015	1.0	1.0	
ASV1180	ASV1180	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	1.98479476663e-05	0.0	0.00168181065652	7.94442257663e-05	0.0	0.0	1.98479476663e-05	0.00176125488229	1.0	1.0	
ASV3316	ASV3316	Proteobacteria	Alphaproteobacteria	Devosiaceae	Devosia	6.3982590949e-05	0.0	0.000253780306438	0.0	8.19544685299e-05	0.0	6.3982590949e-05	0.000335734774968	1.0		
BE177																
ASV2225	ASV2225	Bacteroidetes	Bacteroidia	Microscillaceae		0.0	0.0	0.000557366667198	0.0	0.0	0.0	0.0	0.000557366667198	1.0	1.0	
ASV1260	ASV1260	Proteobacteria	Gammaproteobacteria	Xanthomonadaceae	Arenimonas	1.38056050757e-05	0.0	0.001475979196	1.99044255832e-05	4.7610746146e-05	0.0	1.38056050757e-05	0.00154349436773	1.0	1.0	
ASV1267	ASV1267	Bacteroidetes	Bacteroidia	Microscillaceae		0.000674193542089	0.00010450605158	0.000457191503542	2.48805319789e-05	1.35523004673e-05	0.0	0.000778699593669	0.000600130387568		1.0	
ASV1265	ASV1265	Verrucomicrobia	Verrucomicrobiae	Chthoniobacteraceae	Chthoniobacter	3.38761148224e-05	4.40156250583e-05	0.00130248601877	0.000170904529574	4.34075858229e-05	0.0	7.78917398807e-05	0.00156081375923	1.0		
ASV1461	ASV1461	Proteobacteria	Deltaproteobacteria	Sandaracinaceae		0.0	0.0	0.0008609809275	0.0	0.0	0.0	0.0	0.0008609809275	1.0	1.0	
ASV1473	ASV1473	Proteobacteria	Gammaproteobacteria	Rhodanobacteraceae	Dokdonella	1.18925861618e-05	0.0	0.00112496791237	0.0	0.0	0.0	1.18925861618e-05	0.00112496791237	1.0	1.0	
ASV141	ASV141	Chloroflexi	Chloroflexia	JG30-KF-CM45		0.00211603968534	0.00409386769254	0.000608427954102	0.00357416161513	0.00019814068936	0.0	0.00620990737788	0.00847459795114			
ASV140	ASV140	Proteobacteria	Gammaproteobacteria	Burkholderiaceae	Rubrivivax	0.0	3.03054259889e-05	0.0045240880605	0.000230560203073	0.00405024564229	0.00289950417295	3.03054259889e-05	0.00883519933185	1.0	1.0	
ASV143	ASV143	Proteobacteria	Gammaproteobacteria	Nitrosomonadaceae	IS-44	0.00314066235382	0.0020129121766	0.00154723757377	0.00261147517463	0.000377982223938	0.0	0.00515357453042	0.00654960714894			
ASV142	ASV142	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadaceae		0.00204417795653	0.00363962225097	0.000897143454452	0.00326430925117	0.000238178493327	1.56012730639e-05	0.0056838002075	0.00803925344992			
ASV144	ASV144	Bacteroidetes	Bacteroidia	Chitinophagaceae		0.00199096716606	0.00310960050549	0.00127451733778	0.00272196748528	0.000388598539012	1.04008487093e-05	0.00510056767156	0.00749468386757			
ASV1989	ASV1989	Chloroflexi	Chloroflexia	Herpetosiphonaceae	Herpetosiphon	0.0	2.44103451582e-05	0.00077331191656	0.0	7.04602817908e-05	5.4939213409e-05	2.44103451582e-05	0.000868182543509	1.0		
ASV146	ASV146	Proteobacteria	Gammaproteobacteria	Burkholderiaceae		0.0	0.0	0.00156460747461	0.000242369476813	0.00237653588398	0.00442489119362	0.0	0.0041835128354	1.0	1.0	1.0
ASV660	ASV660	Proteobacteria	Gammaproteobacteria	Cellvibrionaceae	Cellvibrio	0.000913012613932	3.5010940919e-05	0.000363833819186	9.8150007034e-05	0.0	4.82378705874e-05	0.000948023554851	0.000496994767139	1.0		
ASV788	ASV788	Proteobacteria	Gammaproteobacteria	Nitrosomonadaceae	Ellin6067	0.00112194812915	1.68597509574e-05	0.000805023905861	0.000192003532113	3.77320703732e-05	0.0	0.00113880788011	0.00105161925931	1.0	1.0	
ASV665	ASV665	Firmicutes	Bacilli	Planococcaceae	Lysinibacillus	0.000930909453885	0.000395292523099	0.000449077740561	0.000462577946503	1.62010410326e-05	0.0	0.00132620197698	0.00132314925119			
ASV2031	ASV2031	Bacteroidetes	Bacteroidia	Chitinophagaceae		0.000242666699985	8.11933096713e-06	0.000468740643615	3.49924104457e-05	2.82491195691e-05	0.0	0.000250786030952	0.000540101504597		1.0	
ASV89	ASV89	Verrucomicrobia	Verrucomicrobiae	Xiphinematobacteraceae	Candidatus_Xiphinematobacter	0.00299474792999	0.00504749247608	0.00164602880123	0.00517759675468	0.000369154950644	9.66943427363e-06	0.00804224040607	0.0122402729826			
ASV4604	ASV4604	Proteobacteria	Gammaproteobacteria	Xanthomonadaceae	Lysobacter	4.11494342125e-05	3.39040515342e-05	0.000100160897292	1.16732425933e-05	1.44647959741e-05	0.0	7.50534857467e-05	0.000160202987394			
ASV83	ASV83	Proteobacteria	Alphaproteobacteria	Xanthobacteraceae		0.00338051520366	0.00491271385402	0.00164074623267	0.00502961438419	0.000490377675218	0.0	0.00829322905768	0.0120734521461			
ASV82	ASV82	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	0.00588065230358	0.00248028760309	0.00361854548218	0.00223234194337	0.000354710390822	6.08331711115e-06	0.00836093990667	0.00868588541946			
ASV81	ASV81	Bacteroidetes	Bacteroidia	Spirosomaceae	Dyadobacter	4.20170589259e-06	0.0	2.92508053981e-05	3.07325728194e-05	0.00184465888944	0.00230370378543	4.20170589259e-06	0.00190464226766			1.0
ASV80	ASV80	Proteobacteria	Gammaproteobacteria	SC-I-84		0.003387533589	0.00501481913317	0.00266592457182	0.004415427668	0.000442680883747	0.0	0.00840235272216	0.0125388522567			
ASV86	ASV86	Proteobacteria	Alphaproteobacteria	Caulobacteraceae	Phenylobacterium	0.000301292318284	0.00215657003211	0.000828553150591	0.00107299508714	0.0049279106134	0.00453285605353	0.00245786235039	0.00898602888324			
ASV85	ASV85	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	5.51592537102e-05	0.0	0.000468779946512	0.0	0.00723891354097	0.00585635762856	5.51592537102e-05	0.00770769348748			1.0
BE118																
BE116																
BE117																
BE114																
BE115																
BE112																
BE113																
BE110																
ASV3162	ASV3162	Proteobacteria	Deltaproteobacteria	Polyangiaceae	Pajaroellobacter	0.0	0.0	0.000369391120074	0.0	8.178425565e-06	0.0	0.0	0.000377569545639	1.0		
ASV3659	ASV3659	Proteobacteria	Deltaproteobacteria	Haliangiaceae	Haliangium	7.75709219858e-06	0.0	0.000294075634952	1.03195447017e-05	5.9524872468e-06	0.0	7.75709219858e-06	0.000310347666901		1.0	
BE68																
BE69																
BE194																
